Number of days:,Number of animals,Number of grass,Average energy of living animals,Average lifespan of dead animals,Average children no. of living animals
0,21.0,2.0,44.523809523809526,0.0,0.09523809523809523
1,22.0,4.0,39.40909090909091,0.0,0.18181818181818182
2,22.0,6.0,36.40909090909091,0.0,0.18181818181818182
3,22.0,8.0,33.40909090909091,0.0,0.18181818181818182
4,22.0,10.0,30.40909090909091,0.0,0.18181818181818182
5,22.0,12.0,27.40909090909091,0.0,0.18181818181818182
6,22.0,14.0,24.5,0.0,0.18181818181818182
7,21.0,16.0,22.666666666666668,6.0,0.19047619047619047
8,21.0,18.0,19.571428571428573,7.0,0.2857142857142857
9,21.0,20.0,16.761904761904763,7.0,0.2857142857142857
10,19.0,22.0,15.526315789473685,8.5,0.10526315789473684
11,19.0,24.0,12.526315789473685,8.5,0.10526315789473684
12,18.0,25.0,15.777777777777779,7.599999904632568,0.1111111111111111
13,18.0,27.0,12.777777777777779,7.599999904632568,0.1111111111111111
14,18.0,29.0,10.0,7.599999904632568,0.1111111111111111
15,16.0,31.0,8.25,9.714285850524902,0.0
16,16.0,33.0,6.1875,9.714285850524902,0.0
17,1.0,35.0,96.0,14.681818008422852,0.0
18,1.0,37.0,93.0,14.681818008422852,0.0
19,1.0,39.0,90.0,14.681818008422852,0.0
20,1.0,41.0,87.0,14.681818008422852,0.0
21,1.0,43.0,84.0,14.681818008422852,0.0
22,1.0,45.0,81.0,14.681818008422852,0.0
23,1.0,47.0,78.0,14.681818008422852,0.0
24,1.0,49.0,75.0,14.681818008422852,0.0
25,1.0,51.0,72.0,14.681818008422852,0.0
26,1.0,53.0,69.0,14.681818008422852,0.0
27,1.0,55.0,66.0,14.681818008422852,0.0
28,1.0,57.0,63.0,14.681818008422852,0.0
29,1.0,59.0,60.0,14.681818008422852,0.0
30,1.0,61.0,57.0,14.681818008422852,0.0
31,1.0,63.0,54.0,14.681818008422852,0.0
32,1.0,65.0,51.0,14.681818008422852,0.0
33,1.0,67.0,48.0,14.681818008422852,0.0
34,1.0,69.0,45.0,14.681818008422852,0.0
35,1.0,71.0,42.0,14.681818008422852,0.0
36,1.0,73.0,39.0,14.681818008422852,0.0
37,1.0,75.0,36.0,14.681818008422852,0.0
